Manf Part #,Quantity,Reference,Description
HI1206T500R-10,2,L1,FERRITE BEAD 50 OHM 1206 1LN
CHV1206-JW-224ELF,4,"R3,R5,R7,R9,R4,R6,R8,R10",RES SMD 220K OHM 5% 1/4W 1206
C1210C104KCRACTU,3,C4,CAP CER 0.1UF 500V X7R 1210
RC0805FR-07100RL,12,"R25,R26,R27,R28",100 R
CL21B334KAFNNNG,12,"C23,C24,C25,C26",.33F C
500R15N270KV4T,12,"C13,C14,C15,C16",27p C
ATM90E26-YU-B,3,"M2,M1", atm90e26 Energy monitor IC
